"movie_title","release_date","genre","MPAA_rating","total_gross","inflation_adjusted_gross"
"Confessions of a Teenage Drama Queen",2020-02-20,"Comedy","PG",29331068,39816568
"Hidalgo",2020-03-05,"Western","PG-13",67286731,91340921
"The Ladykillers",2020-03-26,"Comedy","R",39692139,53881593
"Home on the Range",2020-04-02,"Comedy","PG",50026353,67910166
"The Alamo",2020-04-09,"Western","PG-13",22406362,30416359
"Raising Helen",2020-05-28,"Comedy","PG-13",37485528,50886144
"Around the World in 80 Days",2020-06-16,"Adventure","PG",24004159,32585356
"America's Heart and Soul",2020-07-02,"Documentary","Not Rated",314000,426246
"King Arthur",2020-07-07,"Adventure","PG-13",51877963,70423706
"The Village",2020-07-30,"Thriller/Suspense","PG-13",114197520,155021748
